"Name","activation","batch_size","hidden_layers","lr","max_epochs","optimizer","epoch","f1_score_val_final","precision_val_final","recall_val_final","accuracy_val_final","Agent","State","Notes","User","Tags","Created","Runtime","method","metric.name","parameters.activations","parameters.batch_sizes","parameters.hidden_layerss","parameters.lrs","parameters.max_epochss","parameters.optimizers","train_accuracy","train_f1","train_loss","train_precision","train_recall","validation_accuracy","validation_f1","validation_loss","validation_precision","validation_recall"
"mbgd_sigmoid_2_0.01_32_200","sigmoid","32","[16,8]","0.01","200","mbgd","200","0.19864195246189872","0.18020033779534145","0.22128851070035868","0.5526315789473685","","finished","-","","","2024-10-07T14:35:14.000Z","5","","","","","","","","","0.537199124726477","0.1940004188002711","1.0819009969017486","0.17679473265325205","0.21491607931295775","0.5526315789473685","0.19864195246189872","1.1368340426284094","0.18020033779534145","0.22128851070035868"
"sgd_tanh_3_0.002_32_800","tanh","32","[8,8,8]","0.002","800","sgd","800","0.31305677306780677","0.30621182088408544","0.320214741655787","0.6403508771929824","","finished","-","","","2024-10-07T14:22:23.000Z","40","","","","","","","","","0.6892778993435449","0.4816382653980648","0.7385498254747698","0.6739442159271403","0.37471545253736266","0.6403508771929824","0.31305677306780677","0.9498931045660554","0.30621182088408544","0.320214741655787"
"bgd_sigmoid_2_0.002_32_200","sigmoid","32","[8,16]","0.002","200","bgd","200","0.029850745377589697","0.03999999840000006","0.0238095232426304","0.05263157894736842","","finished","-","","","2024-10-07T14:42:52.000Z","5","","","","","","","","","0.05798687089715536","0.1171533762835986","2.090556083269064","0.22591185787253207","0.07908181207469976","0.05263157894736842","0.029850745377589697","2.111536634470632","0.03999999840000006","0.0238095232426304"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[16,16]","0.002","800","bgd","800","0.13437602629782588","0.12210225243368576","0.14939308727347156","0.35964912280701755","","finished","-","","","2024-10-07T14:54:36.000Z","5","","","","","","","","","0.4190371991247265","0.15280648262288404","1.422562449183664","0.13968851319057257","0.1686435858586454","0.35964912280701755","0.13437602629782588","1.457106579644155","0.12210225243368576","0.14939308727347156"
"mbgd_sigmoid_2_0.01_32_800","sigmoid","32","[16,8]","0.01","800","mbgd","800","0.25129818457423186","0.25185183893592167","0.25074695910700245","0.5877192982456141","","finished","-","","","2024-10-07T14:56:10.000Z","19","","","","","","","","","0.5765864332603938","0.2733395946645367","0.9568007609391956","0.2862007690727361","0.26158461120282045","0.5877192982456141","0.25129818457423186","0.997125528170594","0.25185183893592167","0.25074695910700245"
"bgd_tanh_3_0.002_32_200","tanh","32","[8,8,8]","0.002","200","bgd","200","0.1597688342873564","0.14595516282396015","0.17647058454165987","0.4473684210526316","","finished","-","","","2024-10-07T14:34:39.000Z","6","","","","","","","","","0.4551422319474836","0.1651099438419835","1.3213446250563536","0.15154651602095273","0.18133988067736193","0.4473684210526316","0.1597688342873564","1.3819712949938732","0.14595516282396015","0.17647058454165987"
"sgd_signum_2_0.05_32_200","signum","32","[16,8]","0.05","200","sgd","200","0.15587845488338783","0.14154892476088618","0.1734360373655999","0.4298245614035088","","finished","-","","","2024-10-07T14:25:58.000Z","17","","","","","","","","","0.450765864332604","0.16346558823231072","1.1660069470238668","0.14965061539307117","0.180090625808032","0.4298245614035088","0.15587845488338783","1.266045918252168","0.14154892476088618","0.1734360373655999"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[16,16]","0.002","800","bgd","800","0.18788958929978655","0.172136748789656","0.20681605536855271","0.5175438596491229","","finished","-","","","2024-10-07T14:27:37.000Z","11","","","","","","","","","0.39059080962800874","0.1418192957213825","1.351652411573972","0.12957186694006195","0.15662372821152226","0.5175438596491229","0.18788958929978655","1.3693449359904777","0.172136748789656","0.20681605536855271"
"bgd_sigmoid_2_0.01_32_200","sigmoid","32","[16,16]","0.01","200","bgd","200","0.12223388291524603","0.11094006373753058","0.13608776548887536","0.3333333333333333","","finished","-","","","2024-10-07T14:48:39.000Z","8","","","","","","","","","0.4037199124726477","0.14741595512136974","1.2473957012407506","0.13467710906402616","0.16281644642232","0.3333333333333333","0.12223388291524603","1.3151129489734508","0.11094006373753058","0.13608776548887536"
"mbgd_tanh_3_0.01_32_200","tanh","32","[8,8,8]","0.01","200","mbgd","200","0.27093964896469463","0.2671075747467414","0.27488327775405624","0.5701754385964912","","finished","-","","","2024-10-07T14:02:28.000Z","5","","","","","","","","","0.6083150984682714","0.29643320190372535","0.91685576380991","0.2952721459817199","0.2976034247759043","0.5701754385964912","0.27093964896469463","1.01359851059856","0.2671075747467414","0.27488327775405624"
"mbgd_signum_1_0.05_32_800","signum","32","[16]","0.05","800","mbgd","144","0.20315093317079708","0.1867647025389274","0.22268907086363968","0.5526315789473685","","finished","-","","","2024-10-07T14:23:33.000Z","5","","","","","","","","","0.5350109409190372","0.2260251640770703","1.005424873071506","0.2334433773332192","0.21906389281635583","0.5350877192982456","0.1939291617024511","1.0874010124497202","0.17774762226481697","0.21335200295281523"
"bgd_tanh_2_0.002_32_800","tanh","32","[16,16]","0.002","800","bgd","800","0.2680365326874764","0.26889837566755465","0.26718019662258413","0.543859649122807","","finished","-","","","2024-10-07T14:51:30.000Z","9","","","","","","","","","0.5251641137855579","0.27170095611976214","1.2983567269154996","0.29201579532097865","0.2540287823900426","0.543859649122807","0.2680365326874764","1.274607803791677","0.26889837566755465","0.26718019662258413"
"bgd_sigmoid_2_0.002_32_200","sigmoid","32","[8,16]","0.002","200","bgd","200","0.08932461756874138","0.061561561006952904","0.16269840882464107","0.35964912280701755","","finished","-","","","2024-10-07T14:50:03.000Z","9","","","","","","","","","0.39606126914660833","0.10726828652201996","1.7108708005367648","0.07687935755780273","0.17738526409879216","0.35964912280701755","0.08932461756874138","1.77505641174817","0.061561561006952904","0.16269840882464107"
"bgd_sigmoid_2_0.01_32_800","sigmoid","32","[16,16]","0.01","800","bgd","800","0.14728590224374813","0.13359788115184348","0.16409896945477545","0.412280701754386","","finished","-","","","2024-10-07T14:09:50.000Z","10","","","","","","","","","0.4310722100656455","0.15626629996528496","1.1911422745413922","0.1429422403623336","0.17232964449359045","0.412280701754386","0.14728590224374813","1.228824107110684","0.13359788115184348","0.16409896945477545"
"bgd_relu_2_0.05_32_200","relu","32","[8,8]","0.05","200","bgd","200","0.14537052546416726","0.13047908375028283","0.16409896968820217","0.43859649122807015","","finished","-","","","2024-10-07T14:25:36.000Z","8","","","","","","","","","0.4310722100656455","0.1859631574949215","1.1125210505462415","0.2008767518518526","0.17311096486935332","0.43859649122807015","0.14537052546416726","1.1894230747033512","0.13047908375028283","0.16409896968820217"
"bgd_relu_3_0.002_32_200","relu","32","[8,8,8]","0.002","200","bgd","200","0.24295222085504037","0.30773803699760927","0.20070027435801796","0.4473684210526316","","finished","-","","","2024-10-07T14:04:29.000Z","5","","","","","","","","","0.41575492341356673","0.16499001240248434","1.2074785991167782","0.16174087923714264","0.1683723621748453","0.4473684210526316","0.24295222085504037","1.2148171986032648","0.30773803699760927","0.20070027435801796"
"mbgd_sigmoid_2_0.01_32_800","sigmoid","32","[16,16]","0.01","800","mbgd","800","0.2590003912332496","0.26093303656662536","0.2570961643526564","0.5701754385964912","","finished","-","","","2024-10-07T14:03:17.000Z","7","","","","","","","","","0.611597374179431","0.2964703816544784","0.941210474514848","0.30466147951855715","0.28870820200344577","0.5701754385964912","0.2590003912332496","0.980694679535742","0.26093303656662536","0.2570961643526564"
"bgd_tanh_2_0.002_32_800","tanh","32","[16,16]","0.002","800","bgd","800","0.2745815589051397","0.2677302715744493","0.2817927076345837","0.5789473684210527","","finished","-","","","2024-10-07T14:11:56.000Z","10","","","","","","","","","0.524070021881838","0.25655401754758345","1.132275189389368","0.25182389374281594","0.2614652391697021","0.5789473684210527","0.2745815589051397","1.1645683592933942","0.2677302715744493","0.2817927076345837"
"mbgd_sigmoid_2_0.002_32_800","sigmoid","32","[16,16]","0.002","800","mbgd","800","0.20825073242103043","0.18904991608641208","0.2317927121583929","0.5789473684210527","","finished","-","","","2024-10-07T14:45:40.000Z","9","","","","","","","","","0.5470459518599562","0.21417479820904697","1.054288216559275","0.2086827201205487","0.2199637691212354","0.5789473684210527","0.20825073242103043","1.1120951062259","0.18904991608641208","0.2317927121583929"
"bgd_sigmoid_2_0.01_32_200","sigmoid","32","[16,8]","0.01","200","bgd","200","0.1491905823578413","0.13442489974260843","0.16760037009640463","0.43859649122807015","","finished","-","","","2024-10-07T14:32:59.000Z","11","","","","","","","","","0.4420131291028446","0.15957249878391952","1.2237042032605965","0.14721578205324673","0.17419363056146908","0.43859649122807015","0.1491905823578413","1.2315205665536089","0.13442489974260843","0.16760037009640463"
"bgd_tanh_3_0.002_32_200","tanh","32","[8,8,8]","0.002","200","bgd","200","0.3542581841171514","0.28031625611020966","0.481185469049378","0.2982456140350877","","finished","-","","","2024-10-07T14:03:28.000Z","4","","","","","","","","","0.2888402625820569","0.1684177546948395","1.6537956911838512","0.142310271820916","0.2062564648170716","0.2982456140350877","0.3542581841171514","1.6375689560089828","0.28031625611020966","0.481185469049378"
"mbgd_tanh_3_0.01_32_200","tanh","32","[8,8,8]","0.01","200","mbgd","200","0.21497617116241205","0.19707020091591065","0.23646124611380517","0.5877192982456141","","finished","-","","","2024-10-07T14:28:38.000Z","5","","","","","","","","","0.5754923413566739","0.20786475206048563","0.992711513358014","0.18946026914884215","0.2302296387526277","0.5877192982456141","0.21497617116241205","1.0583293366148745","0.19707020091591065","0.23646124611380517"
"mbgd_sigmoid_2_0.002_32_800","sigmoid","32","[16,8]","0.002","800","mbgd","800","0.19005277837180087","0.17272079432923643","0.2112511627078937","0.5350877192982456","","finished","-","","","2024-10-07T14:40:07.000Z","5","","","","","","","","","0.5218818380743983","0.18719477803745885","1.1399105382405967","0.17019711639220003","0.20796426121934064","0.5350877192982456","0.19005277837180087","1.1700975813956869","0.17272079432923643","0.2112511627078937"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[16,16]","0.002","800","bgd","800","0.18436770792551535","0.167543042757014","0.20494864173970256","0.5087719298245614","","finished","-","","","2024-10-07T14:19:48.000Z","6","","","","","","","","","0.5393873085339168","0.196762854611619","1.1926775495244388","0.18021759361642808","0.21665316063690035","0.5087719298245614","0.18436770792551535","1.197913759853681","0.167543042757014","0.20494864173970256"
"bgd_sigmoid_3_0.05_16_800","sigmoid","16","[8,8,8]","0.05","800","bgd","800","0.20116210916787555","0.1840686236579081","0.22175536416592792","0.5614035087719298","","finished","-","","","2024-10-07T14:24:12.000Z","6","","","","","","","","","0.5273522975929978","0.18884984015134904","1.1485243619720231","0.17174424242959593","0.2097397632462487","0.5614035087719298","0.20116210916787555","1.1790636637008864","0.1840686236579081","0.22175536416592792"
"mbgd_sigmoid_2_0.01_32_200","sigmoid","32","[16,8]","0.01","200","mbgd","200","0.19183954920451168","0.1752136717209074","0.21195144278953423","0.5350877192982456","","finished","-","","","2024-10-07T14:10:50.000Z","5","","","","","","","","","0.5196936542669585","0.186568846394845","1.1161517558089715","0.16957248546666848","0.20735185855268976","0.5350877192982456","0.19183954920451168","1.144799921506747","0.1752136717209074","0.21195144278953423"
"bgd_sigmoid_2_0.002_32_800","sigmoid","32","[8,8]","0.002","800","bgd","800","0.08974358859303092","0.06140350823330256","0.16666666269841282","0.3684210526315789","","finished","-","","","2024-10-07T14:59:00.000Z","6","","","","","","","","","0.4026258205689278","0.09568382720382138","1.392465744580005","0.06710430335473636","0.1666666662137681","0.3684210526315789","0.08974358859303092","1.433943565752655","0.06140350823330256","0.16666666269841282"
