"Name","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","hidden_layers","lr","max_epochs","method","metric.goal","metric.name","optimizer","parameters.activations","parameters.batch_sizes","parameters.hidden_layerss","parameters.lrs","parameters.max_epochss","parameters.optimizers","accuracy_val_final","epoch","f1_score_val_final","mae_val_final","mse_val_final","precision_val_final","r2_val_final","recall_val_final","rmse_val_final","train_accuracy","train_f1","train_loss","train_mae","train_mse","train_precision","train_r2","train_recall","validation_accuracy","validation_f1","validation_loss","validation_mae","validation_mse","validation_precision","validation_r2","validation_recall","hamming_accuracy","hamming_loss","train_hamming_accuracy","train_hamming_loss","validation_hamming_accuracy","validation_hamming_loss"
"mbgd_tanh_1_0.002_32_800","","finished","-","","","2024-10-10T11:47:31.000Z","12","2fd1o2fl","tanh","32","[16]","0.002","800","","","","mbgd","","","","","","","0.6578947368421053","800","0.2906455245499332","","","0.2930964116455675","","0.288235286430494","","0.6072210065645515","0.2910912109505478","0.9669627694464056","","","0.29626379080393367","","0.2860961516948343","0.6578947368421053","0.2906455245499332","1.0182368737268277","","","0.2930964116455675","","0.288235286430494","","","","","",""
"mbgd_sigmoid_1_0.01_16_200","","finished","-","","","2024-10-10T10:35:39.000Z","6","2fd1o2fl","sigmoid","16","[16]","0.01","200","","","","mbgd","","","","","","","0.6578947368421053","200","0.31124773777038695","","","0.3402030191934872","","0.28683472626721307","","0.5733041575492341","0.2583974716020116","0.9958075974323451","","","0.27559564569491185","","0.24321967616562848","0.6578947368421053","0.31124773777038695","1.05191868942696","","","0.3402030191934872","","0.28683472626721307","","","","","",""
"mbgd_tanh_1_0.002_32_800","","finished","-","","","2024-10-10T11:34:38.000Z","7","2fd1o2fl","tanh","32","[16]","0.002","800","","","","mbgd","","","","","","","0.6578947368421053","800","0.2906455245499332","","","0.2930964116455675","","0.288235286430494","","0.6072210065645515","0.2910912109505478","0.9669627694464056","","","0.29626379080393367","","0.2860961516948343","0.6578947368421053","0.2906455245499332","1.0182368737268277","","","0.2930964116455675","","0.288235286430494","","","","","",""
"mbgd_sigmoid_1_0.01_32_800","","finished","-","","","2024-10-10T11:04:43.000Z","8","2fd1o2fl","sigmoid","32","[16]","0.01","800","","","","mbgd","","","","","","","0.6491228070175439","800","0.2981936286611748","","","0.3144115333694451","","0.28356675247508184","","0.6028446389496718","0.2818791195345956","0.9505402399481964","","","0.28997140723780296","","0.2742262353641428","0.6491228070175439","0.2981936286611748","1.0024407630942067","","","0.3144115333694451","","0.28356675247508184","","","","","",""
"mbgd_sigmoid_1_0.01_32_800","","finished","-","","","2024-10-10T10:59:21.000Z","8","2fd1o2fl","sigmoid","32","[16]","0.01","800","","","","mbgd","","","","","","","0.6491228070175439","800","0.2981936286611748","","","0.3144115333694451","","0.28356675247508184","","0.6028446389496718","0.2818791195345956","0.9505402399481964","","","0.28997140723780296","","0.2742262353641428","0.6491228070175439","0.2981936286611748","1.0024407630942067","","","0.3144115333694451","","0.28356675247508184","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:08:22.000Z","8","2fd1o2fl","tanh","32","[8,16]","0.01","800","","","","bgd","","","","","","","0.6228070175438597","800","0.2931903501264735","","","0.29851905994058175","","0.28804854409188546","","0.5886214442013129","0.2771671741765161","0.9890565590261564","","","0.2811772014695217","","0.2732699171429672","0.6228070175438597","0.2931903501264735","1.0775563886973267","","","0.29851905994058175","","0.28804854409188546","","","","","",""
"mbgd_sigmoid_2_0.05_16_800","","finished","-","","","2024-10-10T10:32:23.000Z","9","2fd1o2fl","sigmoid","16","[16,16]","0.05","800","","","","mbgd","","","","","","","0.6228070175438597","413","0.27679409742062955","","","0.28303590107381366","","0.27082165509193246","","0.6181619256017505","0.29858500747185224","0.8998835724985147","","","0.30543357070131566","","0.29203683170111133","0.6228070175438597","0.27938329802532064","0.9162508028337396","","","0.2829938961985801","","0.2758636713436096","","","","","",""
"mbgd_tanh_2_0.01_32_200","","finished","-","","","2024-10-10T10:53:28.000Z","7","2fd1o2fl","tanh","32","[8,16]","0.01","200","","","","mbgd","","","","","","","0.6228070175438597","200","0.28931807434679996","","","0.29984512373922545","","0.2795051274320058","","0.6225382932166302","0.3022527291693072","0.9232369226523546","","","0.3070206194931524","","0.29763066062801286","0.6228070175438597","0.28931807434679996","0.980476392317569","","","0.29984512373922545","","0.2795051274320058","","","","","",""
"mbgd_tanh_1_0.002_32_200","","finished","-","","","2024-10-10T10:43:15.000Z","6","2fd1o2fl","tanh","32","[16]","0.002","200","","","","mbgd","","","","","","","0.6228070175438597","200","0.2811918979291639","","","0.28077904407909043","","0.2816059676769273","","0.5382932166301969","0.2588994233839177","1.0783053365381392","","","0.27054592643094416","","0.24821425748881495","0.6228070175438597","0.2811918979291639","1.1171405686026337","","","0.28077904407909043","","0.2816059676769273","","","","","",""
"mbgd_sigmoid_1_0.01_16_800","","finished","-","","","2024-10-10T10:33:30.000Z","11","2fd1o2fl","sigmoid","16","[16]","0.01","800","","","","mbgd","","","","","","","0.6228070175438597","800","0.2650274911285133","","","0.26483584538403254","","0.2652194144388084","","0.6094091903719913","0.2881636346971036","0.92749309831824","","","0.2938163214516722","","0.2827243447660438","0.6228070175438597","0.2650274911285133","0.968893183865312","","","0.26483584538403254","","0.2652194144388084","","","","","",""
"mbgd_tanh_1_0.002_32_200","","finished","-","","","2024-10-10T10:48:15.000Z","5","2fd1o2fl","tanh","32","[16]","0.002","200","","","","mbgd","","","","","","","0.6228070175438597","200","0.2811918979291639","","","0.28077904407909043","","0.2816059676769273","","0.5382932166301969","0.2588994233839177","1.0783053365381392","","","0.27054592643094416","","0.24821425748881495","0.6228070175438597","0.2811918979291639","1.1171405686026337","","","0.28077904407909043","","0.2816059676769273","","","","","",""
"mbgd_sigmoid_1_0.05_32_800","","finished","-","","","2024-10-10T10:32:45.000Z","8","2fd1o2fl","sigmoid","32","[8]","0.05","800","","","","mbgd","","","","","","","0.6228070175438597","800","0.28110728098634724","","","0.28272790786593505","","0.2795051274320058","","0.5995623632385121","0.2836422077176926","0.9159235312300406","","","0.28681111052775354","","0.2805425644742068","0.6228070175438597","0.28110728098634724","0.9397557483682308","","","0.28272790786593505","","0.2795051274320058","","","","","",""
"mbgd_tanh_1_0.002_32_200","","finished","-","","","2024-10-10T11:17:34.000Z","6","2fd1o2fl","tanh","32","[16]","0.002","200","","","","mbgd","","","","","","","0.6228070175438597","200","0.2811918979291639","","","0.28077904407909043","","0.2816059676769273","","0.5382932166301969","0.2588994233839177","1.0783053365381392","","","0.27054592643094416","","0.24821425748881495","0.6228070175438597","0.2811918979291639","1.1171405686026337","","","0.28077904407909043","","0.2816059676769273","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:47:59.000Z","7","2fd1o2fl","tanh","32","[8,16]","0.01","800","","","","bgd","","","","","","","0.6228070175438597","800","0.2931903501264735","","","0.29851905994058175","","0.28804854409188546","","0.5886214442013129","0.2771671741765161","0.9890565590261564","","","0.2811772014695217","","0.2732699171429672","0.6228070175438597","0.2931903501264735","1.0775563886973267","","","0.29851905994058175","","0.28804854409188546","","","","","",""
"mbgd_relu_3_0.05_32_200","","finished","-","","","2024-10-10T10:32:12.000Z","5","2fd1o2fl","relu","32","[8,8,8]","0.05","200","","","","mbgd","","","","","","","0.6228070175438597","133","0.2954979414317219","","","0.2980900708001619","","0.29295050466336897","","0.6411378555798687","0.31514343198545697","0.8890527889084268","","","0.3174808374755249","","0.31284019255404993","0.5964912280701754","0.27369015257143725","0.9280445876191968","","","0.27560467426415897","","0.27180204630053356","","","","","",""
"mbgd_tanh_2_0.002_32_200","","finished","-","","","2024-10-10T10:54:15.000Z","6","2fd1o2fl","tanh","32","[8,8]","0.002","200","","","","mbgd","","","","","","","0.6140350877192983","200","0.30662801664573924","","","0.3669237318079917","","0.2633520008099582","","0.5842450765864332","0.24366564353548584","0.9831072432306264","","","0.24806471271344965","","0.2394198780075548","0.6140350877192983","0.30662801664573924","1.0261027464940833","","","0.3669237318079917","","0.2633520008099582","","","","","",""
"mbgd_tanh_2_0.002_32_200","","finished","-","","","2024-10-10T10:35:50.000Z","6","2fd1o2fl","tanh","32","[8,8]","0.002","200","","","","mbgd","","","","","","","0.6140350877192983","200","0.30662801664573924","","","0.3669237318079917","","0.2633520008099582","","0.5842450765864332","0.24366564353548584","0.9831072432306264","","","0.24806471271344965","","0.2394198780075548","0.6140350877192983","0.30662801664573924","1.0261027464940833","","","0.3669237318079917","","0.2633520008099582","","","","","",""
"mbgd_tanh_2_0.002_16_200","","finished","-","","","2024-10-10T12:14:36.000Z","7","2fd1o2fl","tanh","16","[8,16]","0.002","200","","","","mbgd","","","","","","","0.6140350877192983","200","0.2826987706865325","","","0.28794776953872087","","0.27763771380315555","","0.6094091903719913","0.29163178530790096","0.9477539306356636","","","0.295822750302485","","0.2875579095441771","0.6140350877192983","0.2826987706865325","1.0291972907707931","","","0.28794776953872087","","0.27763771380315555","","","","","",""
"mbgd_tanh_1_0.002_16_200","","finished","-","","","2024-10-10T11:42:49.000Z","7","2fd1o2fl","tanh","16","[16]","0.002","200","","","","mbgd","","","","","","","0.6140350877192983","200","0.26680292920809195","","","0.2645502543041916","","0.2690942971432759","","0.587527352297593","0.28199755566663137","1.0109633042609625","","","0.28734002092178235","","0.27685012726097086","0.6140350877192983","0.26680292920809195","1.0600356517070144","","","0.2645502543041916","","0.2690942971432759","","","","","",""
"mbgd_tanh_2_0.002_32_200","","finished","-","","","2024-10-10T12:05:28.000Z","11","2fd1o2fl","tanh","32","[8,8]","0.002","200","","","","mbgd","","","","","","","0.6140350877192983","200","0.30662801664573924","","","0.3669237318079917","","0.2633520008099582","","0.5842450765864332","0.24366564353548584","0.9831072432306264","","","0.24806471271344965","","0.2394198780075548","0.6140350877192983","0.30662801664573924","1.0261027464940833","","","0.3669237318079917","","0.2633520008099582","","","","","",""
"mbgd_tanh_2_0.01_16_200","","finished","-","","","2024-10-10T11:19:42.000Z","7","2fd1o2fl","tanh","16","[8,8]","0.01","200","","","","mbgd","","","","","","","0.6140350877192983","93","0.2830480827130516","","","0.2849831526998208","","0.28113911421135807","","0.5995623632385121","0.2822664623431696","0.9526484235083994","","","0.2886412595177941","","0.27616716230231614","0.6052631578947368","0.2778121681321471","0.999322429902273","","","0.2835858442322864","","0.27226889976610286","","","","","",""
"mbgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T10:32:57.000Z","7","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","mbgd","","","","","","","0.6140350877192983","356","0.29142282963492794","","","0.2968601254881576","","0.2861811304630352","","0.6170678336980306","0.29468219926127487","0.9115261178375568","","","0.297522725524195","","0.2918953985416915","0.6228070175438597","0.29452872955953","0.9782259110397548","","","0.29978982717469094","","0.2894491042551665","","","","","",""
"mbgd_tanh_2_0.002_32_200","","finished","-","","","2024-10-10T11:12:12.000Z","6","2fd1o2fl","tanh","32","[8,8]","0.002","200","","","","mbgd","","","","","","","0.6140350877192983","200","0.30662801664573924","","","0.3669237318079917","","0.2633520008099582","","0.5842450765864332","0.24366564353548584","0.9831072432306264","","","0.24806471271344965","","0.2394198780075548","0.6140350877192983","0.30662801664573924","1.0261027464940833","","","0.3669237318079917","","0.2633520008099582","","","","","",""
"mbgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T12:09:30.000Z","6","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","mbgd","","","","","","","0.6140350877192983","356","0.29142282963492794","","","0.2968601254881576","","0.2861811304630352","","0.6170678336980306","0.29468219926127487","0.9115261178375568","","","0.297522725524195","","0.2918953985416915","0.6228070175438597","0.29452872955953","0.9782259110397548","","","0.29978982717469094","","0.2894491042551665","","","","","",""
"mbgd_tanh_2_0.002_32_200","","finished","-","","","2024-10-10T10:52:42.000Z","6","2fd1o2fl","tanh","32","[8,8]","0.002","200","","","","mbgd","","","","","","","0.6140350877192983","200","0.30662801664573924","","","0.3669237318079917","","0.2633520008099582","","0.5842450765864332","0.24366564353548584","0.9831072432306264","","","0.24806471271344965","","0.2394198780075548","0.6140350877192983","0.30662801664573924","1.0261027464940833","","","0.3669237318079917","","0.2633520008099582","","","","","",""
"mbgd_tanh_2_0.002_32_200","","finished","-","","","2024-10-10T12:09:53.000Z","7","2fd1o2fl","tanh","32","[8,8]","0.002","200","","","","mbgd","","","","","","","0.6140350877192983","200","0.30662801664573924","","","0.3669237318079917","","0.2633520008099582","","0.5842450765864332","0.24366564353548584","0.9831072432306264","","","0.24806471271344965","","0.2394198780075548","0.6140350877192983","0.30662801664573924","1.0261027464940833","","","0.3669237318079917","","0.2633520008099582","","","","","",""
"mbgd_sigmoid_1_0.002_32_800","","finished","-","","","2024-10-10T10:35:16.000Z","7","2fd1o2fl","sigmoid","32","[16]","0.002","800","","","","mbgd","","","","","","","0.6052631578947368","800","0.21945242519523028","","","0.1995950518156961","","0.2436974737797081","","0.5382932166301969","0.19549136660895017","1.0868860276859094","","","0.1789223281742737","","0.21544232647053593","0.6052631578947368","0.21945242519523028","1.1312081058976196","","","0.1995950518156961","","0.2436974737797081","","","","","",""
"mbgd_sigmoid_1_0.002_32_800","","finished","-","","","2024-10-10T10:49:15.000Z","7","2fd1o2fl","sigmoid","32","[16]","0.002","800","","","","mbgd","","","","","","","0.6052631578947368","800","0.21945242519523028","","","0.1995950518156961","","0.2436974737797081","","0.5382932166301969","0.19549136660895017","1.0868860276859094","","","0.1789223281742737","","0.21544232647053593","0.6052631578947368","0.21945242519523028","1.1312081058976196","","","0.1995950518156961","","0.2436974737797081","","","","","",""
"mbgd_sigmoid_1_0.002_32_800","","finished","-","","","2024-10-10T10:46:14.000Z","12","2fd1o2fl","sigmoid","32","[16]","0.002","800","","","","mbgd","","","","","","","0.6052631578947368","800","0.21945242519523028","","","0.1995950518156961","","0.2436974737797081","","0.5382932166301969","0.19549136660895017","1.0868860276859094","","","0.1789223281742737","","0.21544232647053593","0.6052631578947368","0.21945242519523028","1.1312081058976196","","","0.1995950518156961","","0.2436974737797081","","","","","",""
"mbgd_sigmoid_1_0.002_32_800","","finished","-","","","2024-10-10T11:59:59.000Z","7","2fd1o2fl","sigmoid","32","[16]","0.002","800","","","","mbgd","","","","","","","0.6052631578947368","800","0.21945242519523028","","","0.1995950518156961","","0.2436974737797081","","0.5382932166301969","0.19549136660895017","1.0868860276859094","","","0.1789223281742737","","0.21544232647053593","0.6052631578947368","0.21945242519523028","1.1312081058976196","","","0.1995950518156961","","0.2436974737797081","","","","","",""
"mbgd_sigmoid_1_0.002_32_800","","finished","-","","","2024-10-10T11:07:48.000Z","7","2fd1o2fl","sigmoid","32","[16]","0.002","800","","","","mbgd","","","","","","","0.6052631578947368","800","0.21945242519523028","","","0.1995950518156961","","0.2436974737797081","","0.5382932166301969","0.19549136660895017","1.0868860276859094","","","0.1789223281742737","","0.21544232647053593","0.6052631578947368","0.21945242519523028","1.1312081058976196","","","0.1995950518156961","","0.2436974737797081","","","","","",""
"mbgd_sigmoid_1_0.002_32_800","","finished","-","","","2024-10-10T10:42:41.000Z","7","2fd1o2fl","sigmoid","32","[16]","0.002","800","","","","mbgd","","","","","","","0.6052631578947368","800","0.21945242519523028","","","0.1995950518156961","","0.2436974737797081","","0.5382932166301969","0.19549136660895017","1.0868860276859094","","","0.1789223281742737","","0.21544232647053593","0.6052631578947368","0.21945242519523028","1.1312081058976196","","","0.1995950518156961","","0.2436974737797081","","","","","",""
"mbgd_sigmoid_1_0.002_16_800","","finished","-","","","2024-10-10T10:36:02.000Z","7","2fd1o2fl","sigmoid","16","[16]","0.002","800","","","","mbgd","","","","","","","0.6052631578947368","800","0.26435891042617055","","","0.281176227013814","","0.24943977011302576","","0.563457330415755","0.23821896810177265","1.016944855729541","","","0.24639249172402003","","0.23057031020688928","0.6052631578947368","0.26435891042617055","1.0721268700592752","","","0.281176227013814","","0.24943977011302576","","","","","",""
"mbgd_relu_2_0.002_32_200","","finished","-","","","2024-10-10T11:25:40.000Z","6","2fd1o2fl","relu","32","[8,16]","0.002","200","","","","mbgd","","","","","","","0.6052631578947368","200","0.29306355860501637","","","0.32340475079569536","","0.2679271635960661","","0.5995623632385121","0.280035488528184","0.989624602348135","","","0.29615057037662035","","0.2655837075335645","0.6052631578947368","0.29306355860501637","1.045546690137886","","","0.32340475079569536","","0.2679271635960661","","","","","",""
"mbgd_tanh_2_0.002_32_200","","finished","-","","","2024-10-10T11:55:09.000Z","6","2fd1o2fl","tanh","32","[8,16]","0.002","200","","","","mbgd","","","","","","","0.6052631578947368","200","0.2869456680587407","","","0.29259257847736747","","0.281512596507623","","0.5973741794310722","0.28305547162492367","0.9721536549735444","","","0.2863792991260445","","0.27980791412741546","0.6052631578947368","0.2869456680587407","1.059160420444937","","","0.29259257847736747","","0.281512596507623","","","","","",""
"mbgd_sigmoid_2_0.01_32_800","","finished","-","","","2024-10-10T11:52:39.000Z","7","2fd1o2fl","sigmoid","32","[8,8]","0.01","800","","","","mbgd","","","","","","","0.5964912280701754","800","0.21734545401208272","","","0.19878471866409875","","0.23972921990593635","","0.5951859956236324","0.2641285226934598","0.9569504825999255","","","0.28164899155584805","","0.24866018060048703","0.5964912280701754","0.21734545401208272","0.9788310728692492","","","0.19878471866409875","","0.23972921990593635","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:33:00.000Z","6","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T10:54:26.000Z","8","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_16_800","","finished","-","","","2024-10-10T10:33:08.000Z","7","2fd1o2fl","tanh","16","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T12:15:21.000Z","8","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T10:48:50.000Z","8","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:56:09.000Z","7","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:14:41.000Z","8","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"mbgd_tanh_2_0.002_32_800","","finished","-","","","2024-10-10T10:46:31.000Z","8","2fd1o2fl","tanh","32","[8,16]","0.002","800","","","","mbgd","","","","","","","0.5964912280701754","800","0.2714477845378574","","","0.27321713207188036","","0.2697012060556121","","0.6192560175054704","0.3007180228256743","0.9270659633294304","","","0.3009602147372052","","0.3004762203992252","0.5964912280701754","0.2714477845378574","0.9914775548945148","","","0.27321713207188036","","0.2697012060556121","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:28:46.000Z","9","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:28:23.000Z","8","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:31:04.000Z","7","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:14:53.000Z","7","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:40:43.000Z","11","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T10:49:03.000Z","8","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"mbgd_sigmoid_2_0.01_32_800","","finished","-","","","2024-10-10T11:17:10.000Z","8","2fd1o2fl","sigmoid","32","[8,8]","0.01","800","","","","mbgd","","","","","","","0.5964912280701754","800","0.21734545401208272","","","0.19878471866409875","","0.23972921990593635","","0.5951859956236324","0.2641285226934598","0.9569504825999255","","","0.28164899155584805","","0.24866018060048703","0.5964912280701754","0.21734545401208272","0.9788310728692492","","","0.19878471866409875","","0.23972921990593635","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T10:50:46.000Z","7","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T11:56:31.000Z","7","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"bgd_tanh_2_0.01_32_800","","finished","-","","","2024-10-10T10:48:26.000Z","8","2fd1o2fl","tanh","32","[8,8]","0.01","800","","","","bgd","","","","","","","0.5964912280701754","800","0.2167985279449153","","","0.1969275148624383","","0.24112978006921737","","0.5787746170678337","0.24066749051742584","0.9963819131610672","","","0.2484952007900695","","0.2333178728808123","0.5964912280701754","0.2167985279449153","1.037109506509603","","","0.1969275148624383","","0.24112978006921737","","","","","",""
"mbgd_sigmoid_2_0.01_32_200","","finished","-","","","2024-10-10T11:22:11.000Z","12","2fd1o2fl","sigmoid","32","[8,8]","0.01","200","","","","mbgd","","","","","","","0.5877192982456141","200","0.21209910281133584","","","0.19275361970781124","","0.2357609660321646","","0.5568927789934355","0.20111692563338332","1.1001428628437515","","","0.18323083390615816","","0.2228726569156239","0.5877192982456141","0.21209910281133584","1.127003460849728","","","0.19275361970781124","","0.2357609660321646","","","","","",""
