,lr,optimizer,activation,batch_size,max_epochs,hidden_layers
507,0.002,bgd,tanh,32,800,"[8, 16]"
508,0.01,bgd,sigmoid,32,200,"[8, 8, 8]"
509,0.002,bgd,sigmoid,32,200,"[8, 8]"
510,0.002,mbgd,sigmoid,32,200,[8]
511,0.002,bgd,sigmoid,32,200,"[16, 8]"
512,0.01,mbgd,tanh,32,200,"[8, 8, 8]"
513,0.002,bgd,sigmoid,32,800,"[16, 16]"
514,0.002,mbgd,sigmoid,32,800,"[8, 8]"
515,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
516,0.002,sgd,tanh,16,800,"[8, 8]"
517,0.01,bgd,tanh,32,200,"[16, 16]"
518,0.01,mbgd,sigmoid,32,200,[8]
519,0.01,mbgd,sigmoid,32,800,"[16, 8]"
520,0.002,bgd,tanh,32,200,"[8, 8, 8]"
521,0.002,mbgd,sigmoid,32,200,"[8, 8, 8]"
522,0.01,bgd,sigmoid,32,800,"[16, 8]"
523,0.002,bgd,sigmoid,32,200,"[16, 8]"
524,0.002,bgd,sigmoid,32,800,"[8, 16]"
525,0.002,mbgd,sigmoid,32,200,"[16, 8]"
526,0.002,bgd,sigmoid,32,200,"[16, 8]"
527,0.002,bgd,tanh,32,200,"[8, 8, 8]"
528,0.002,bgd,tanh,32,800,"[8, 16]"
529,0.002,bgd,sigmoid,32,800,"[16, 8]"
530,0.002,bgd,sigmoid,32,800,"[8, 8]"
