popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
54,246990,0.476,0.713,7,-7.024,0.0667,0.000838,0.000206,0.0802,0.564,183.032,heavy-metal
0,245106,0.588,0.847,8,-4.164,0.0705,0.0601,0.0,0.307,0.662,120.041,alt-rock
0,203760,0.705,0.643,11,-6.929,0.232,0.0242,0.0,0.262,0.884,143.944,dance
0,190840,0.59,0.944,5,-3.596,0.0496,4.69e-05,0.000107,0.0553,0.694,124.81,groove
22,201692,0.681,0.964,1,-2.812,0.047,0.0291,0.000643,0.0689,0.844,129.987,drum-and-bass
64,131684,0.636,0.455,11,-9.152,0.0533,0.0918,0.966,0.101,0.274,147.658,sad
0,203760,0.726,0.931,1,-1.483,0.079,0.111,0.0,0.273,0.574,118.069,reggae
42,248014,0.548,0.941,7,-4.061,0.0556,0.00568,1.67e-05,0.295,0.767,153.027,ska
60,242413,0.358,0.959,2,-3.139,0.0874,0.00364,0.000237,0.356,0.171,91.938,metalcore
1,165800,0.623,0.727,11,-5.57,0.0562,0.184,2.02e-05,0.309,0.4,125.975,german
27,159720,0.484,0.726,8,-5.022,0.283,0.0158,0.0,0.213,0.398,109.338,dancehall
45,226333,0.667,0.608,0,-6.071,0.11,0.0983,0.00186,0.336,0.684,90.045,trip-hop
26,164800,0.427,0.00136,9,-24.609,0.0596,0.992,0.881,0.116,0.368,126.118,new-age
44,229826,0.369,0.765,9,-9.407,0.0457,0.0255,2.42e-05,0.643,0.663,94.451,samba
0,213132,0.746,0.522,10,-6.807,0.248,0.0306,0.0,0.2,0.361,140.051,hip-hop
21,263061,0.339,0.109,3,-19.685,0.035,0.969,0.896,0.116,0.116,70.09,new-age
6,92800,0.561,0.223,2,-14.889,0.0363,0.0786,0.852,0.1,0.368,74.997,study
66,228112,0.674,0.514,5,-10.956,0.227,0.0126,0.0,0.158,0.192,99.901,hip-hop
41,178720,0.442,0.722,8,-4.79,0.039,0.416,0.0,0.122,0.526,75.966,world-music
31,341462,0.6,0.417,9,-13.328,0.185,0.262,0.0,0.645,0.618,98.189,salsa
76,209829,0.537,0.586,6,-1.864,0.314,0.265,7.04e-05,0.175,0.624,79.056,indie-pop
36,600500,0.743,0.697,1,-6.922,0.039,0.0483,0.709,0.109,0.211,126.989,techno
23,139408,0.791,0.738,7,-6.065,0.0436,0.00177,0.0565,0.321,0.666,125.004,groove
11,231066,0.747,0.751,10,-12.122,0.0839,0.151,0.86,0.0567,0.96,167.041,idm
56,164174,0.674,0.721,7,-6.489,0.0293,0.13,9.57e-05,0.0464,0.757,132.053,sad
54,188307,0.829,0.433,5,-11.828,0.174,0.143,0.00252,0.13,0.679,130.051,dancehall
20,812378,0.601,0.85,6,-7.233,0.957,0.93,0.0,0.703,0.27,83.546,comedy
40,213704,0.494,0.531,9,-5.161,0.0438,0.821,0.0,0.329,0.68,106.266,forro
0,171773,0.596,0.315,8,-9.175,0.0428,0.961,0.0,0.258,0.64,119.935,jazz
28,251109,0.565,0.633,9,-8.111,0.0409,0.0784,0.00127,0.0863,0.681,143.494,dub
48,332760,0.316,0.917,4,-2.948,0.113,1.32e-05,0.0053,0.154,0.183,112.035,death-metal
62,204560,0.711,0.788,11,-14.705,0.0825,0.0117,2.05e-06,0.311,0.757,103.172,synth-pop
45,202410,0.44,0.877,2,-5.122,0.157,0.0211,0.0,0.402,0.463,172.051,dub
19,99200,0.627,0.599,7,-5.839,0.0975,0.695,1.57e-05,0.0831,0.751,105.102,disney
0,372375,0.456,0.97,7,-5.434,0.154,2.55e-05,0.827,0.525,0.281,120.07,iranian
17,61706,0.828,0.762,9,-6.811,0.0754,0.295,0.0,0.111,0.962,113.152,kids
74,295502,0.578,0.43,5,-6.134,0.0305,0.33,0.0,0.0854,0.288,78.991,soul
18,151360,0.637,0.612,7,-9.471,0.0322,0.464,0.869,0.233,0.903,119.823,honky-tonk
33,193692,0.759,0.614,10,-8.259,0.0958,0.222,3.55e-06,0.0451,0.708,147.941,malay
45,150869,0.715,0.908,5,-3.468,0.052,0.316,0.0,0.0769,0.859,159.978,forro
20,147480,0.621,0.308,3,-9.357,0.369,0.823,0.0,0.0446,0.86,119.585,tango
31,272493,0.575,0.828,9,-9.199,0.0524,0.00273,0.0083,0.0892,0.458,149.11,heavy-metal
16,202213,0.228,0.911,1,-8.409,0.169,0.175,0.873,0.4,0.121,127.168,black-metal
71,204376,0.698,0.623,8,-7.845,0.037,0.623,0.0856,0.179,0.625,102.002,dance
51,266168,0.634,0.475,1,-5.741,0.0289,0.32,0.0,0.0677,0.168,127.839,mandopop
96,148485,0.704,0.797,0,-5.927,0.0475,0.0826,0.000745,0.0546,0.825,139.994,pop
0,190664,0.679,0.783,0,-4.992,0.14,0.00231,8.01e-05,0.309,0.507,128.045,house
16,294938,0.553,0.792,7,-7.665,0.0467,0.00126,0.883,0.139,0.0555,174.764,happy
22,232986,0.669,0.94,11,-7.346,0.0506,0.000892,4.22e-05,0.966,0.711,124.025,rockabilly
62,137306,0.528,0.973,11,-3.798,0.106,0.000661,0.0,0.363,0.473,94.009,garage
43,231000,0.427,0.961,1,-4.793,0.118,0.000471,0.00986,0.107,0.139,160.027,french
37,175133,0.322,0.0347,2,-18.39,0.0375,0.978,0.00132,0.116,0.0993,77.233,disney
35,169400,0.626,0.788,0,-5.674,0.0329,0.0764,8.91e-06,0.133,0.654,122.062,french
0,201700,0.534,0.714,6,-6.347,0.0629,0.00633,0.0,0.0879,0.415,125.99,dance
63,209733,0.759,0.716,11,-6.36,0.0818,0.0223,0.0,0.231,0.469,105.021,reggaeton
0,239533,0.713,0.886,7,-7.75,0.0411,0.0012,7.68e-06,0.0496,0.9,97.983,alt-rock
